313000.0,1340
2384000.0,3650
342000.0,1930
420000.0,2000
550000.0,1940
490000.0,880
335000.0,1350
482000.0,2710
452500.0,2430
640000.0,1520
463000.0,1710
1400000.0,2920
588500.0,2330
365000.0,1090
1200000.0,2910
242500.0,1200
419000.0,1570
367500.0,3110
257950.0,1370
275000.0,1180
750000.0,2240
435000.0,1450
626000.0,1750
612500.0,2730
495000.0,1600
285000.0,2090
615000.0,2360
698000.0,2200
675000.0,2820
790000.0,2600
382500.0,1560
499950.0,2860
650000.0,1820
625000.0,2820
400000.0,3630
604000.0,3240
440000.0,800
287200.0,1850
403000.0,1960
750000.0,2390
335000.0,1580
260000.0,1480
308500.0,850
439950.0,1770
235000.0,1210
315000.0,1160
437500.0,1970
407500.0,1930
445700.0,1270
838000.0,3310
